CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
045189,THE SPRINGS OF CAMDEN,900 MAGNOLIA ROAD,CAMDEN,AR,71701,"900 MAGNOLIA ROAD,CAMDEN,AR,71701",2026-04-01,meg@soignenashville.com
045190,NIGHTINGALE AT CROSSETT,1101 WATERWELL ROAD,CROSSETT,AR,71635,"1101 WATERWELL ROAD,CROSSETT,AR,71635",2026-04-01,referral@nrccrossett.com
045192,THE SPRINGS OF MT VISTA,202 TIMS AVENUE,HARRISON,AR,72601,"202 TIMS AVENUE,HARRISON,AR,72601",2026-04-01,meg@soignenashville.com
045208,"CABOT HEALTH AND REHAB, LLC",200 NORTHPORT DRIVE,CABOT,AR,72023,"200 NORTHPORT DRIVE,CABOT,AR,72023",2026-04-01,"meg@soignenashville.com,info@guidingpatients.com"
045216,TWIN RIVERS REHABILITATION AND HEALTHCARE CENTER,3021 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,"3021 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923",2026-04-01,"info@arkadelphiaalliance.com,contactus@twinrivershr.com"
045217,THE SPRINGS OF AVALON,610 SOUTH AVALON ST,WEST MEMPHIS,AR,72301,"610 SOUTH AVALON ST,WEST MEMPHIS,AR,72301",2026-04-01,"info@thespringsavalon.com,info@westmemphischamber.com"
045218,GASSVILLE THERAPY AND LIVING,203 COTTER ROAD,GASSVILLE,AR,72635,"203 COTTER ROAD,GASSVILLE,AR,72635",2026-04-01,gvtladmit@reliancehealthcare.com
045219,"CRESTPARK FORREST CITY, LLC",500 KITTLE RD,FORREST CITY,AR,72335,"500 KITTLE RD,FORREST CITY,AR,72335",2026-04-01,meg@soignenashville.com
045275,THE SPRINGS OF EL DORADO,1700 EAST SHORT HILLSBORO,EL DORADO,AR,71730,"1700 EAST SHORT HILLSBORO,EL DORADO,AR,71730",2026-04-01,info@thespringseldorado.com
045284,POCAHONTAS HEALTHCARE AND REHABILITATION CENTER,105 COUNTRY CLUB ROAD,POCAHONTAS,AR,72455,"105 COUNTRY CLUB ROAD,POCAHONTAS,AR,72455",2026-04-01,meg@soignenashville.com
045287,BEAR CREEK HEALTHCARE LLC,322 WEST COLLIN RAYE DRIVE,DE QUEEN,AR,71832,"322 WEST COLLIN RAYE DRIVE,DE QUEEN,AR,71832",2026-04-01,info@guidingpatients.com
045289,"LONOKE HEALTH AND REHAB CENTER, LLC",1501 LINCOLN STREET,LONOKE,AR,72086,"1501 LINCOLN STREET,LONOKE,AR,72086",2026-04-01,meg@soignenashville.com
045303,"CRESTPARK STUTTGART, LLC",707 WEST 20TH STREET,STUTTGART,AR,72160,"707 WEST 20TH STREET,STUTTGART,AR,72160",2026-04-01,meg@soignenashville.com
045304,"BEEBE RETIREMENT CENTER, INC.",709 MCAFEE LANE,BEEBE,AR,72012,"709 MCAFEE LANE,BEEBE,AR,72012",2026-04-01,meg@soignenashville.com
045305,SOUTHERN TRACE REHABILITATION AND CARE CENTER,22515 I 30,BRYANT,AR,72022,"22515 I 30,BRYANT,AR,72022",2026-04-01,stadmin@southerntracerehab.com
045340,RUSSELLVILLE NURSING AND REHABILITATION CENTER,215 SOUTH PORTLAND AVENUE,RUSSELLVILLE,AR,72801,"215 SOUTH PORTLAND AVENUE,RUSSELLVILLE,AR,72801",2026-04-01,"admin@russellvillenr.com,meg@soignenashville.com"
045345,THE BLOSSOMS AT FORT SMITH REHAB & NURSING CENTER,5301 WHEELER AVENUE,FORT SMITH,AR,72901,"5301 WHEELER AVENUE,FORT SMITH,AR,72901",2026-04-01,meg@soignenashville.com
045350,NIGHTINGALE AT ARKADELPHIA,2701 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,"2701 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923",2026-04-01,"info@arkadelphiaalliance.com,tmoyer@evans172.sg-host.com,alex@marketingseal.com"
045353,"HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",942 NORTH HIGHWAY 65,MARSHALL,AR,72650,"942 NORTH HIGHWAY 65,MARSHALL,AR,72650",2026-04-01,consumerfeedback@aplaceformom.com
045370,Alma Nursing and Rehab,401 Heather Lane,Alma,AR,72921,"401 Heather Lane,Alma,AR,72921",2026-04-01,meg@soignenashville.com
045381,GREENBRIER NURSING AND REHABILITATION CENTER,#16 WILSON FARM ROAD,GREENBRIER,AR,72058,"#16 WILSON FARM ROAD,GREENBRIER,AR,72058",2026-04-01,info@csnhc.com
045386,OZARK NURSING AND REHAB,600 NORTH 12TH STREET,OZARK,AR,72949,"600 NORTH 12TH STREET,OZARK,AR,72949",2026-04-01,meg@soignenashville.com
045394,RECTOR NURSING AND REHAB,1023 HIGHWAY 119,RECTOR,AR,72461,"1023 HIGHWAY 119,RECTOR,AR,72461",2026-04-01,meg@soignenashville.com
045401,WHITE RIVER HEALTHCARE,1569 AR HIGHWAY 56,CALICO ROCK,AR,72519,"1569 AR HIGHWAY 56,CALICO ROCK,AR,72519",2026-04-01,consumerfeedback@aplaceformom.com
045403,NIGHTINGALE AT GLENWOOD,615 MOUNTAIN VIEW ROAD,GLENWOOD,AR,71943,"615 MOUNTAIN VIEW ROAD,GLENWOOD,AR,71943",2026-04-01,reporting@firstpagesage.com
045408,ALCOA PINES HEALTH AND REHABILITATION,3300 ALCOA ROAD,BENTON,AR,72015,"3300 ALCOA ROAD,BENTON,AR,72015",2026-04-01,apadmit@reliancehealthcare.com
045424,GREENE ACRES NURSING HOME,2402 COUNTRY CLUB ROAD,PARAGOULD,AR,72450,"2402 COUNTRY CLUB ROAD,PARAGOULD,AR,72450",2026-04-01,"admission@ganh.org,jolampkins@gmail.com,mill.whitney@gmail.com,kmilligan@bankwithsouthern.com,sarah.ellzey@arumc.org,cojudge@greene.ar.gov,lenkemp53@gmail.com"
045433,CORNING THERAPY AND LIVING CENTER,831 NORTH MISSOURI,CORNING,AR,72422,"831 NORTH MISSOURI,CORNING,AR,72422",2026-04-01,meg@soignenashville.com
045437,NIGHTINGALE AT STONEGATE,118 JERRY SELBY DRIVE,CROSSETT,AR,71635,"118 JERRY SELBY DRIVE,CROSSETT,AR,71635",2026-04-01,referral@nrcstonegate.com
045439,GOSNELL HEALTH AND REHAB,700 MOODY STREET,GOSNELL,AR,72315,"700 MOODY STREET,GOSNELL,AR,72315",2026-04-01,info@gosnellhandr.com
045441,HILLCREST HOME,1111 MAPLEWOOD RD,HARRISON,AR,72601,"1111 MAPLEWOOD RD,HARRISON,AR,72601",2026-04-01,info@hillcresthome.net
045442,CAVALIER HEALTHCARE OF ENGLAND,400 STUTTGART HIGHWAY,ENGLAND,AR,72046,"400 STUTTGART HIGHWAY,ENGLAND,AR,72046",2026-04-01,meg@soignenashville.com
045452,LAWRENCE HALL HEALTH & REHABILITATION,1051 WEST FREE STREET,WALNUT RIDGE,AR,72476,"1051 WEST FREE STREET,WALNUT RIDGE,AR,72476",2026-04-01,ksullens@lawrencehealth.net
045456,PINK BUD HOME FOR THE GOLDEN YEARS,400 SO COKER,GREENWOOD,AR,72936,"400 SO COKER,GREENWOOD,AR,72936",2026-04-01,pinkbud@pinkbudnursingcenter.com
045462,ARKANSAS STATE VETERANS HOME AT NORTH LITTLE ROCK,2401 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,AR,72114,"2401 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,AR,72114",2026-04-01,"advapublic@arkansas.gov,asvhf@arkansas.gov,asvhnlr@arkansas.gov"
045466,THE GREEN HOUSE COTTAGES OF POPLAR GROVE,7801 KANIS RD,LITTLE ROCK,AR,72204,"7801 KANIS RD,LITTLE ROCK,AR,72204",2026-04-01,poplar-grove-logo-w-tag@2x.png
045467,"SUPERIOR HEALTH & REHAB, LLC",625 TOMMY LEWIS DR,CONWAY,AR,72033,"625 TOMMY LEWIS DR,CONWAY,AR,72033",2026-04-01,meg@soignenashville.com
045475,COUNTRYSIDE HEALTH & REHAB OF NEWTON COUNTY,610 EAST COURT STREET,JASPER,AR,72641,"610 EAST COURT STREET,JASPER,AR,72641",2026-04-01,tara@countrysideassistedliving.com
045476,"HAMPTON PLACE HEALTHCARE, LLC",2029 SOUTH HAMPTON PLACE,ROGERS,AR,72758,"2029 SOUTH HAMPTON PLACE,ROGERS,AR,72758",2026-04-01,info@guidingpatients.com
04A293,ARKANSAS HEALTH CENTER,6701 HWY 67,BENTON,AR,72015,"6701 HWY 67,BENTON,AR,72015",2026-04-01,"calsfoundation@cals.org,teresa.harbour@dhs.arkansas.gov"
055001,Redlands Healthcare Center,1620 W Fern Ave,Redlands,CA,92373,"1620 W Fern Ave,Redlands,CA,92373",2026-04-01,"novie.sitanggang@redlandshc.com,nbspnovie.sitanggang@redlandshc.com"
055002,COUNTRY MANOR HEALTHCARE,11723 FENTON AVENUE,LAKE VIEW TERRACE,CA,91342,"11723 FENTON AVENUE,LAKE VIEW TERRACE,CA,91342",2026-04-01,phpprcontactus@providence.org
055011,RIVER VIEW POST ACUTE,1611 SCENIC DRIVE,MODESTO,CA,95355,"1611 SCENIC DRIVE,MODESTO,CA,95355",2026-04-01,meg@soignenashville.com
055014,FAIRFIELD POST-ACUTE REHAB,1255 TRAVIS BLVD,FAIRFIELD,CA,94533,"1255 TRAVIS BLVD,FAIRFIELD,CA,94533",2026-04-01,contact-fairfield@ensignservices.net
055016,MOUNT SAN ANTONIO GARDENS,900 E. HARRISON AVE,POMONA,CA,91767,"900 E. HARRISON AVE,POMONA,CA,91767",2026-04-01,meg@soignenashville.com
055017,REDWOOD GROVE POST ACUTE,2990 SOQUEL AVENUE,SANTA CRUZ,CA,95062,"2990 SOQUEL AVENUE,SANTA CRUZ,CA,95062",2026-04-01,info@redwoodgrovepa.com
055028,Los Banos Post Acute,931 IDAHO AVE.,LOS BANOS,CA,93635,"931 IDAHO AVE.,LOS BANOS,CA,93635",2026-04-01,meg@soignenashville.com
055039,GOOD SAMARITAN REHAB AND CARE CENTER,1630 N. EDISON STREET,STOCKTON,CA,95204,"1630 N. EDISON STREET,STOCKTON,CA,95204",2026-04-01,consumerfeedback@aplaceformom.com
055042,ALTA VISTA HEALTHCARE & WELLNESS CENTRE,9020 GARFIELD STREET,RIVERSIDE,CA,92503,"9020 GARFIELD STREET,RIVERSIDE,CA,92503",2026-04-01,administrator@altavistarehab.com
055045,RIVIERA HEALTHCARE CENTER,8203 TELEGRAPH RD,PICO RIVERA,CA,90660,"8203 TELEGRAPH RD,PICO RIVERA,CA,90660",2026-04-01,rlevin@rivierahealthcare.com
055047,PALMS CARE CENTER,1010 VENTURA AVENUE,CHOWCHILLA,CA,93610,"1010 VENTURA AVENUE,CHOWCHILLA,CA,93610",2026-04-01,meg@soignenashville.com
055049,PLEASANT HILL POST ACUTE,1625 OAK PARK BOULEVARD,PLEASANT HILL,CA,94523,"1625 OAK PARK BOULEVARD,PLEASANT HILL,CA,94523",2026-04-01,meg@soignenashville.com
055056,"PINE GROVE HEALTHCARE & WELLNESS CENTRE, LP",126 N. SAN GABRIEL BLVD.,SAN GABRIEL,CA,91775,"126 N. SAN GABRIEL BLVD.,SAN GABRIEL,CA,91775",2026-04-01,administrator@pinegrovehc.com
055067,PALOMAR VISTA HEALTHCARE CENTER,201 N FIG STREET,ESCONDIDO,CA,92025,"201 N FIG STREET,ESCONDIDO,CA,92025",2026-04-01,contact-palomarvista@ensignservices.net
055067,PALOMAR VISTA HEALTHCARE CENTER,201 N FIG STREET,ESCONDIDO,CA,92025,"201 N FIG STREET,ESCONDIDO,CA,92025",2026-04-01,contact-palomarvista@ensignservices.net
055074,VILLA CORONADO D/P SNF,233 PROSPECT PLACE,CORONADO,CA,92118,"233 PROSPECT PLACE,CORONADO,CA,92118",2026-04-01,consumerfeedback@aplaceformom.com
055074,VILLA CORONADO D/P SNF,233 PROSPECT PLACE,CORONADO,CA,92118,"233 PROSPECT PLACE,CORONADO,CA,92118",2026-04-01,consumerfeedback@aplaceformom.com
055085,MORAGA POST ACUTE,348 RHEEM BOULEVARD,MORAGA,CA,94556,"348 RHEEM BOULEVARD,MORAGA,CA,94556",2026-04-01,"info@moragapa.com,themoragachamber925@gmail.com"
055093,SOUTH MARIN HEALTH & WELLNESS CENTER,1220 SOUTH ELISEO DRIVE,GREENBRAE,CA,94904,"1220 SOUTH ELISEO DRIVE,GREENBRAE,CA,94904",2026-04-01,"info@southmarinhealth.com,cynthiae@aspenskilledhealth.com"
055105,ROYAL VISTA CARE CENTER,909 W. SANTA ANITA AVE,SAN GABRIEL,CA,91776,"909 W. SANTA ANITA AVE,SAN GABRIEL,CA,91776",2026-04-01,"contactus@royalvistacare.com,susana.fuentes@royalvistacare.com,meg@soignenashville.com"
055129,Grand Terrace Health Care Center,12000 Mount Vernon Ave,Grand Terrace,CA,92313,"12000 Mount Vernon Ave,Grand Terrace,CA,92313",2026-04-01,-grandterraceca@ensignservices.net
055141,Madera Post Acute Center,11900 RAMONA BOULEVARD,EL MONTE,CA,91732,"11900 RAMONA BOULEVARD,EL MONTE,CA,91732",2026-04-01,contact-madera@ensignservices.net
055147,MADERA REHABILITATION & NURSING CENTER,517 SOUTH A STREET,MADERA,CA,93638,"517 SOUTH A STREET,MADERA,CA,93638",2026-04-01,meg@soignenashville.com
055161,GARDEN CREST REHABILITATION CENTER,909 LUCILE AVE.,LOS ANGELES,CA,90026,"909 LUCILE AVE.,LOS ANGELES,CA,90026",2026-04-01,meg@soignenashville.com
055170,PICO RIVERA HEALTHCARE CENTER,9140 VERNER STREET,PICO RIVERA,CA,90660,"9140 VERNER STREET,PICO RIVERA,CA,90660",2026-04-01,meg@soignenashville.com
055173,FOLSOM CARE CENTER,510 MILL STREET,FOLSOM,CA,95630,"510 MILL STREET,FOLSOM,CA,95630",2026-04-01,ccallaway@folsomcarecenter.com
055183,Heritage Gardens Health Care Center,25271 Barton Rd,Loma Linda,CA,92354,"25271 Barton Rd,Loma Linda,CA,92354",2026-04-01,admissions@progressivecarecenters.com
055185,GARDEN CITY HEALTHCARE CENTER,1310 WEST GRANGER,MODESTO,CA,95350,"1310 WEST GRANGER,MODESTO,CA,95350",2026-04-01,meg@soignenashville.com
055189,GREENFIELD CARE CENTER OF FAIRFIELD,1260 TRAVIS BLVD,FAIRFIELD,CA,94533,"1260 TRAVIS BLVD,FAIRFIELD,CA,94533",2026-04-01,socialmedia@gccfairfield.com
055191,GOLDEN MADERA CARE CENTER,1700 HOWARD ROAD,MADERA,CA,93637,"1700 HOWARD ROAD,MADERA,CA,93637",2026-04-01,geri.morris@goldenmaderahc.com
055202,ROSEMEAD HEALTHCARE CENTER,4096 EASY STREET,EL MONTE,CA,91731,"4096 EASY STREET,EL MONTE,CA,91731",2026-04-01,admissions@rosemeadhc.com
055212,THE VINEYARDS HEALTHCARE CENTER,76 FENTON STREET,LIVERMORE,CA,94550,"76 FENTON STREET,LIVERMORE,CA,94550",2026-04-01,lisa.foster@linkshealth.com
055222,SPRINGS ROAD HEALTHCARE,1527 SPRINGS ROAD,VALLEJO,CA,94591,"1527 SPRINGS ROAD,VALLEJO,CA,94591",2026-04-01,connor.airey@springsroadhc.com
055237,VICTORIA HEALTHCARE AND REHABILITATION CENTER,340 VICTORIA STREET,COSTA MESA,CA,92627,"340 VICTORIA STREET,COSTA MESA,CA,92627",2026-04-01,contact-victoriacares@ensignservices.net
055242,FAIRMONT REHABILITATION HOSPITAL,950 S. FAIRMONT AVENUE,LODI,CA,95240,"950 S. FAIRMONT AVENUE,LODI,CA,95240",2026-04-01,contact-fairmont@ensignservices.net
055282,POMONA VISTA CARE CENTER,651 N MAIN ST,POMONA,CA,91768,"651 N MAIN ST,POMONA,CA,91768",2026-04-01,jsmith@pomonavistacarecenter.com
055286,KEARNY MESA CONVALESCENT AND NURSING HOME,7675 FAMILY CIRCLE DRIVE,SAN DIEGO,CA,92111,"7675 FAMILY CIRCLE DRIVE,SAN DIEGO,CA,92111",2026-04-01,c.hebbel@kearnymesaconvalescent.com
055298,FALLBROOK SKILLED NURSING,325 POTTER STREET,FALLBROOK,CA,92028,"325 POTTER STREET,FALLBROOK,CA,92028",2026-04-01,admissions@progressivecarecenters.com
055303,CANTERBURY WOODS,651 SINEX  AVENUE,PACIFIC GROVE,CA,93950,"651 SINEX  AVENUE,PACIFIC GROVE,CA,93950",2026-04-01,cwsales@frontporch.net
055305,SHERWOOD HEALTHCARE CENTER,4700 ELVAS AVE,SACRAMENTO,CA,95819,"4700 ELVAS AVE,SACRAMENTO,CA,95819",2026-04-01,dmurray@cypressh.com
055310,MARIN POST ACUTE,234 N. SAN PEDRO RD,SAN RAFAEL,CA,94903,"234 N. SAN PEDRO RD,SAN RAFAEL,CA,94903",2026-04-01,contact@marinpostacute.com
055311,KATHERINE HEALTHCARE,315 ALAMEDA AVENUE,SALINAS,CA,93901,"315 ALAMEDA AVENUE,SALINAS,CA,93901",2026-04-01,victoria.pato@katherinehc.com
055322,THE PAVILION AT OCEAN POINT,3202 DUKE STREET,SAN DIEGO,CA,92110,"3202 DUKE STREET,SAN DIEGO,CA,92110",2026-04-01,administrator@thepavilionop.com
055329,VILLA SERENA HEALTHCARE CENTER,723 E 9TH STREET,LONG BEACH,CA,90813,"723 E 9TH STREET,LONG BEACH,CA,90813",2026-04-01,meg@soignenashville.com
055344,CLAREMONT HEIGHTS POST ACUTE,590 S. INDIAN HILL BLVD.,CLAREMONT,CA,91711,"590 S. INDIAN HILL BLVD.,CLAREMONT,CA,91711",2026-04-01,phpprcontactus@providence.org
055350,CULVER WEST HEALTH CENTER,4035 GRANDVIEW BLVD.,LOS ANGELES,CA,90066,"4035 GRANDVIEW BLVD.,LOS ANGELES,CA,90066",2026-04-01,compliance@culverwest.com
055353,SHORELINE HEALTHCARE CENTER,4029 EAST ANAHEIM STREET,LONG BEACH,CA,90804,"4029 EAST ANAHEIM STREET,LONG BEACH,CA,90804",2026-04-01,contact-shoreline@ensignservices.net
055364,LONG BEACH HEALTHCARE CENTER,3401 CEDAR AVENUE,LONG BEACH,CA,90807,"3401 CEDAR AVENUE,LONG BEACH,CA,90807",2026-04-01,info@lbhealthcenter.com
055367,MONROVIA GARDENS HEALTHCARE CENTER,615 W. DUARTE RD.,MONROVIA,CA,91016,"615 W. DUARTE RD.,MONROVIA,CA,91016",2026-04-01,"info@monroviagardens.com,business-office@monroviahcc.com,sophia.chan@monroviahcc.com"
055374,Upland Rehabilitation and Care Center,1221 E Arrow Hwy,Upland,CA,91786,"1221 E Arrow Hwy,Upland,CA,91786",2026-04-01,contact-upland@ensignservices.net
055376,HUNTINGTON DRIVE HEALTH AND REHABILITATION CENTER,400 W. HUNTINTON DR.,ARCADIA,CA,91007,"400 W. HUNTINTON DR.,ARCADIA,CA,91007",2026-04-01,business-office@huntingtondrivehcc.com
055407,CUPERTINO HEALTHCARE & WELLNESS CENTER,22590 VOSS AVENUE,CUPERTINO,CA,95014,"22590 VOSS AVENUE,CUPERTINO,CA,95014",2026-04-01,administrator@cupertinohc.com
055454,VINEYARDS AT FOWLER,1306 EAST SUMNER AVENUE,FOWLER,CA,93625,"1306 EAST SUMNER AVENUE,FOWLER,CA,93625",2026-04-01,kristi@sweetwatercare.org
055459,BUENA VISTA CARE CENTER,1440 S EUCLID AVENUE,ANAHEIM,CA,92802,"1440 S EUCLID AVENUE,ANAHEIM,CA,92802",2026-04-01,"business-office@buenavistacarecenter.com,psahebifard@buenavistacarecenter.comm"
055461,CALIFORNIA POST ACUTE,909 S LAKE STREET,LOS ANGELES,CA,90006,"909 S LAKE STREET,LOS ANGELES,CA,90006",2026-04-01,"info@capostacute.com,jrodriguez@dhs.lacounty.gov"
055466,THE SEQUOIAS,501 PORTOLA ROAD,PORTOLA VALLEY,CA,94028,"501 PORTOLA ROAD,PORTOLA VALLEY,CA,94028",2026-04-01,cpicar@sequoialiving.org
055481,VIENNA NURSING AND REHABILITATION CENTER,800 SO. HAM LANE,LODI,CA,95242,"800 SO. HAM LANE,LODI,CA,95242",2026-04-01,info@viennanursingrehab.com
055497,THE PINES AT PLACERVILLE HEALTHCARE CENTER,1040 MARSHALL WAY,PLACERVILLE,CA,95667,"1040 MARSHALL WAY,PLACERVILLE,CA,95667",2026-04-01,last@pinesatplacerville.com
055505,ARROYO VISTA NURSING CENTER,3022 45TH STREET,SAN DIEGO,CA,92105,"3022 45TH STREET,SAN DIEGO,CA,92105",2026-04-01,"-arroyovista@ensignservices.net,contact-arroyovista@ensignservices.net"
055519,DOWNEY POST ACUTE,13007 S. PARAMOUNT BLVD.,DOWNEY,CA,90242,"13007 S. PARAMOUNT BLVD.,DOWNEY,CA,90242",2026-04-01,phpprcontactus@providence.org
055523,GLENDALE POST ACUTE CENTER,250 N. VERDUGO ROAD,GLENDALE,CA,91206,"250 N. VERDUGO ROAD,GLENDALE,CA,91206",2026-04-01,business-office@glendalepac.com
055531,BEACHSIDE POST ACUTE,22520 MAPLE AVENUE,TORRANCE,CA,90505,"22520 MAPLE AVENUE,TORRANCE,CA,90505",2026-04-01,"meg@soignenashville.com,tsanhuze@beachsidepostacute.com"
055534,THE REUTLINGER COMMUNITY,4000 CAMINO TASSAJARA,DANVILLE,CA,94506,"4000 CAMINO TASSAJARA,DANVILLE,CA,94506",2026-04-01,"julie.mammad@rcjl.org,kim.chua-pilapil@rcjl.org,naheed.asalati@rcjl.org,claudia.quinones@rcjl.org,tatyana.orozco@rcjl.org,art.martinez@rcjl.org,caroline.allen@rcjl.org,acampisi@rcjl.org"
055542,MISSION CARE CENTER,8487 MAGNOLIA AVENUE,RIVERSIDE,CA,92504,"8487 MAGNOLIA AVENUE,RIVERSIDE,CA,92504",2026-04-01,meg@soignenashville.com
055551,SEQUOIA TRANSITIONAL CARE,350 NORTH VILLA STREET,PORTERVILLE,CA,93257,"350 NORTH VILLA STREET,PORTERVILLE,CA,93257",2026-04-01,info@sequoiatc.com
055563,Santa Maria Post Acute,820 West Cook Street,Santa Maria,CA,93458,"820 West Cook Street,Santa Maria,CA,93458",2026-04-01,"ltco@fsacares.org,info@guidingpatients.com"
055566,Coastal View Healthcare Center,4904 Telegraph Road,Ventura,CA,93003,"4904 Telegraph Road,Ventura,CA,93003",2026-04-01,lisav@coastalviewhcc.com
055575,PACIFIC HAVEN SUBACUTE AND HEALTHCARE CENTER,12072 TRASK AVE.,GARDEN GROVE,CA,92843,"12072 TRASK AVE.,GARDEN GROVE,CA,92843",2026-04-01,contact-pacifichaven@ensignservices.net
055581,JURUPA HILLS POST ACUTE,6401 33RD STREET.,RIVERSIDE,CA,92509,"6401 33RD STREET.,RIVERSIDE,CA,92509",2026-04-01,mayra.gallegos@jurupahillspa.com
055598,THE BRADLEY GARDENS,980 WEST SEVENTH STREET,SAN JACINTO,CA,92582,"980 WEST SEVENTH STREET,SAN JACINTO,CA,92582",2026-04-01,consumerfeedback@aplaceformom.com
055601,PARKVIEW JULIAN HEALTHCARE CENTER,1801 JULIAN AVENUE,BAKERSFIELD,CA,93304,"1801 JULIAN AVENUE,BAKERSFIELD,CA,93304",2026-04-01,activities@parkviewjulian.com
055604,VISALIA POST ACUTE,1925 E. HOUSTON AVE,VISALIA,CA,93292,"1925 E. HOUSTON AVE,VISALIA,CA,93292",2026-04-01,"meg@soignenashville.com,dawson.burrup@vpacare.com"
055619,LAS COLINAS POST ACUTE,800 EAST 5TH STREET,ONTARIO,CA,91764,"800 EAST 5TH STREET,ONTARIO,CA,91764",2026-04-01,info@lascolinaspa.com
055622,BONITA HILLS POST ACUTE,1233 WEST LA HABRA BOULEVARD,LA HABRA,CA,90631,"1233 WEST LA HABRA BOULEVARD,LA HABRA,CA,90631",2026-04-01,phpprcontactus@providence.org
055646,Palo Alto Post-Acute,911 BRYANT STREET,PALO ALTO,CA,94301,"911 BRYANT STREET,PALO ALTO,CA,94301",2026-04-01,"jmejia@papostacute.com,last@papostacute.com"
055653,SOUTH COAST POST ACUTE,1030 W WARNER AVE,SANTA ANA,CA,92707,"1030 W WARNER AVE,SANTA ANA,CA,92707",2026-04-01,info@southcoastpa.com
055664,YORK HEALTHCARE & WELLNESS CENTRE,6071 YORK BLVD.,LOS ANGELES,CA,90042,"6071 YORK BLVD.,LOS ANGELES,CA,90042",2026-04-01,meg@soignenashville.com
055671,PARKVIEW HEALTHCARE CENTER,1514 E. LINCOLN AVENUE,ANAHEIM,CA,92805,"1514 E. LINCOLN AVENUE,ANAHEIM,CA,92805",2026-04-01,admissions@progressivecarecenters.com
055684,The Californian,2225 De La Vina Street,Santa Barbara,CA,93105,"2225 De La Vina Street,Santa Barbara,CA,93105",2026-04-01,reservations@thehotelcalifornian.com
055689,ST. CATHERINE HEALTHCARE,245 E WILSHIRE AVENUE,FULLERTON,CA,92832,"245 E WILSHIRE AVENUE,FULLERTON,CA,92832",2026-04-01,contact-stcatherine@ensignservices.net
055707,ONTARIO HEALTHCARE CENTER,1661 SOUTH EUCLID AVENUE,ONTARIO,CA,91762,"1661 SOUTH EUCLID AVENUE,ONTARIO,CA,91762",2026-04-01,"business-office@ontariohc.com,scardenas@chms.us"
055708,Arrowhead Springs Healthcare,1335 N. Waterman Ave.,San Bernardino,CA,92404,"1335 N. Waterman Ave.,San Bernardino,CA,92404",2026-04-01,"arrowheadsprings@ensignservices.net,contact-arrowheadsprings@ensignservices.net,phpprcontactus@providence.org"
055711,BRENTWOOD HEALTH CARE CENTER,1321 FRANKLIN STREET,SANTA MONICA,CA,90404,"1321 FRANKLIN STREET,SANTA MONICA,CA,90404",2026-04-01,"jashcroft@brentwoodnursing.com,don@brentwoodnursing.com"
055715,KYAKAMEENA CARE CENTER,2131 CARLETON STREET,BERKELEY,CA,94704,"2131 CARLETON STREET,BERKELEY,CA,94704",2026-04-01,info@kyakameenahc.net
055718,MONTCLAIR MANOR CARE CENTER,5119 BANDERA STREET,MONTCLAIR,CA,91763,"5119 BANDERA STREET,MONTCLAIR,CA,91763",2026-04-01,"info@montclairmanor.com,socialmedia@montclairmanor.com"
055734,UKIAH POST ACUTE,1349 SOUTH DORA ST.,UKIAH,CA,95482,"1349 SOUTH DORA ST.,UKIAH,CA,95482",2026-04-01,contact-ukiah@ensignservices.net
055744,ATLANTIC MEMORIAL HEALTHCARE CENTER,2750 ATLANTIC AVENUE,LONG BEACH,CA,90806,"2750 ATLANTIC AVENUE,LONG BEACH,CA,90806",2026-04-01,"contact-atlantic_memorial@ensignservices.net,meg@soignenashville.com"
055753,LONGWOOD MANOR CONV.HOSPITAL,4853 W. WASHINGTON BL.,LOS ANGELES,CA,90016,"4853 W. WASHINGTON BL.,LOS ANGELES,CA,90016",2026-04-01,consumerfeedback@aplaceformom.com
055756,CLOVERDALE HEALTHCARE CENTER,300 CHERRY CREEK RD,CLOVERDALE,CA,95425,"300 CHERRY CREEK RD,CLOVERDALE,CA,95425",2026-04-01,"contact-cloverdale@ensignservices.net,phpprcontactus@providence.org"
055764,WHITTIER PACIFIC CARE CENTER,7716 S PICKERING AVENUE,WHITTIER,CA,90602,"7716 S PICKERING AVENUE,WHITTIER,CA,90602",2026-04-01,fac20admit@longwoodmgmt.com
055775,"ORINDA CARE CENTER, LLC",11 ALTARINDA ROAD,ORINDA,CA,94563,"11 ALTARINDA ROAD,ORINDA,CA,94563",2026-04-01,drea.madison.05@gmail.com
055795,BRIGHTON PLACE SAN DIEGO,1350 N. EUCLID AVENUE,SAN DIEGO,CA,92105,"1350 N. EUCLID AVENUE,SAN DIEGO,CA,92105",2026-04-01,administrator@brightonplacesd.com
055797,GILROY HEALTHCARE CENTER,8170 MURRAY AVENUE,GILROY,CA,95020,"8170 MURRAY AVENUE,GILROY,CA,95020",2026-04-01,bpapke@gilroyhealthcare.com
